profundidade_maxima,min_amostras_folha,n_folhas,profundidade_real,acuracia_cv,atinge_meta
3.0,1,8,3,0.7188,True
3.0,5,8,3,0.7162,True
3.0,20,8,3,0.71,True
4.0,20,13,4,0.72,True
5.0,40,13,5,0.71,True
6.0,40,14,6,0.71,True
4.0,1,15,4,0.71,True
4.0,5,15,4,0.7162,True
5.0,20,17,5,0.7137,True
6.0,20,20,6,0.71,True
,20,27,9,0.7125,True
1.0,1,2,1,0.7,False
1.0,5,2,1,0.7,False
1.0,10,2,1,0.7,False
1.0,20,2,1,0.7,False
1.0,40,2,1,0.7,False
2.0,1,4,2,0.7075,False
2.0,5,4,2,0.7075,False
2.0,10,4,2,0.7075,False
2.0,20,4,2,0.7075,False
2.0,40,4,2,0.7075,False
3.0,40,7,3,0.6975,False
3.0,10,8,3,0.7025,False
4.0,40,11,4,0.7025,False
4.0,10,15,4,0.7012,False
7.0,40,15,7,0.705,False
8.0,40,15,7,0.705,False
,40,15,7,0.705,False
5.0,10,22,5,0.6862,False
7.0,20,23,7,0.7038,False
5.0,5,24,5,0.6962,False
5.0,1,25,5,0.6938,False
8.0,20,25,8,0.7088,False
6.0,10,28,6,0.6875,False
7.0,10,33,7,0.6825,False
6.0,5,34,6,0.7012,False
8.0,10,37,8,0.6762,False
6.0,1,39,6,0.6988,False
7.0,5,43,7,0.6912,False
,10,50,12,0.6862,False
8.0,5,53,8,0.69,False
7.0,1,56,7,0.6938,False
8.0,1,71,8,0.685,False
,5,87,15,0.6838,False
,1,146,22,0.6812,False
