seed,algorithm,best_cost,is_feasible,first_feasible_iteration,accepted_worsening_moves_after_feasibility
2026,hill_climbing_fixed_budget,2933.0,True,1908,
2026,simulated_annealing_v2_schedule_corrigido,2582.0,True,1355,2009
2027,hill_climbing_fixed_budget,2891.0,True,605,
2027,simulated_annealing_v2_schedule_corrigido,2484.0,True,1942,1756
2028,hill_climbing_fixed_budget,3026.0,True,720,
2028,simulated_annealing_v2_schedule_corrigido,2547.0,True,670,2269
2029,hill_climbing_fixed_budget,2898.0,True,159,
2029,simulated_annealing_v2_schedule_corrigido,2554.0,True,1208,2208
2030,hill_climbing_fixed_budget,2759.0,True,158,
2030,simulated_annealing_v2_schedule_corrigido,2569.0,True,5162,805
2031,hill_climbing_fixed_budget,2654.0,True,233,
2031,simulated_annealing_v2_schedule_corrigido,2602.0,True,4019,1149
2032,hill_climbing_fixed_budget,2840.0,True,135,
2032,simulated_annealing_v2_schedule_corrigido,2530.0,True,1442,1720
2033,hill_climbing_fixed_budget,2898.0,True,49,
2033,simulated_annealing_v2_schedule_corrigido,2594.0,True,5152,728
2034,hill_climbing_fixed_budget,2610.0,True,207,
2034,simulated_annealing_v2_schedule_corrigido,2620.0,True,3271,1307
2035,hill_climbing_fixed_budget,2840.0,True,1453,
2035,simulated_annealing_v2_schedule_corrigido,2520.0,True,673,2200
2036,hill_climbing_fixed_budget,2840.0,True,139,
2036,simulated_annealing_v2_schedule_corrigido,2520.0,True,991,1882
2037,hill_climbing_fixed_budget,3446.0,False,,
2037,simulated_annealing_v2_schedule_corrigido,2530.0,True,806,2300
2038,hill_climbing_fixed_budget,2453.0,True,366,
2038,simulated_annealing_v2_schedule_corrigido,2557.0,True,3301,1284
2039,hill_climbing_fixed_budget,2522.0,True,885,
2039,simulated_annealing_v2_schedule_corrigido,2530.0,True,869,2327
2040,hill_climbing_fixed_budget,2988.0,True,125,
2040,simulated_annealing_v2_schedule_corrigido,2530.0,True,7406,203
2041,hill_climbing_fixed_budget,2522.0,True,886,
2041,simulated_annealing_v2_schedule_corrigido,2584.0,True,905,2326
2042,hill_climbing_fixed_budget,2522.0,True,213,
2042,simulated_annealing_v2_schedule_corrigido,2486.0,True,2315,1614
2043,hill_climbing_fixed_budget,2702.0,True,127,
2043,simulated_annealing_v2_schedule_corrigido,2487.0,True,3478,1215
2044,hill_climbing_fixed_budget,2585.0,True,437,
2044,simulated_annealing_v2_schedule_corrigido,2486.0,True,595,2294
2045,hill_climbing_fixed_budget,2615.0,True,226,
2045,simulated_annealing_v2_schedule_corrigido,2516.0,True,77,2561
2046,hill_climbing_fixed_budget,2619.0,True,110,
2046,simulated_annealing_v2_schedule_corrigido,2557.0,True,517,2102
2047,hill_climbing_fixed_budget,2597.0,True,347,
2047,simulated_annealing_v2_schedule_corrigido,2499.0,True,2494,1643
2048,hill_climbing_fixed_budget,2668.0,True,267,
2048,simulated_annealing_v2_schedule_corrigido,2487.0,True,1215,2089
2049,hill_climbing_fixed_budget,2692.0,True,285,
2049,simulated_annealing_v2_schedule_corrigido,2486.0,True,86,2583
2050,hill_climbing_fixed_budget,2602.0,True,91,
2050,simulated_annealing_v2_schedule_corrigido,2516.0,True,5750,625
2051,hill_climbing_fixed_budget,3132.0,True,305,
2051,simulated_annealing_v2_schedule_corrigido,2516.0,True,6406,465
2052,hill_climbing_fixed_budget,2584.0,True,46,
2052,simulated_annealing_v2_schedule_corrigido,2675.0,True,3507,1374
2053,hill_climbing_fixed_budget,2562.0,True,224,
2053,simulated_annealing_v2_schedule_corrigido,2621.0,True,6403,426
2054,hill_climbing_fixed_budget,2593.0,True,98,
2054,simulated_annealing_v2_schedule_corrigido,2453.0,True,1231,2204
2055,hill_climbing_fixed_budget,2910.0,True,469,
2055,simulated_annealing_v2_schedule_corrigido,2450.0,True,1898,1546
