seed,algorithm,best_cost,is_feasible,first_feasible_iteration,accepted_worsening_moves_after_feasibility,reheating_events_count
2026,hill_climbing_fixed_budget,2933.0,True,1908,,
2026,simulated_annealing,2673.0,True,837,6,
2026,simulated_annealing_reheating,2673.0,True,837,6,37
2027,hill_climbing_fixed_budget,2891.0,True,605,,
2027,simulated_annealing,2890.0,True,742,7,
2027,simulated_annealing_reheating,2890.0,True,742,7,37
2028,hill_climbing_fixed_budget,3026.0,True,720,,
2028,simulated_annealing,2651.0,True,657,16,
2028,simulated_annealing_reheating,2651.0,True,657,16,36
2029,hill_climbing_fixed_budget,2898.0,True,159,,
2029,simulated_annealing,2564.0,True,736,16,
2029,simulated_annealing_reheating,2564.0,True,736,17,36
2030,hill_climbing_fixed_budget,2759.0,True,158,,
2030,simulated_annealing,2487.0,True,588,27,
2030,simulated_annealing_reheating,2487.0,True,588,27,36
2031,hill_climbing_fixed_budget,2654.0,True,233,,
2031,simulated_annealing,2821.0,True,1201,0,
2031,simulated_annealing_reheating,2821.0,True,1201,0,36
2032,hill_climbing_fixed_budget,2840.0,True,135,,
2032,simulated_annealing,2669.0,True,424,54,
2032,simulated_annealing_reheating,2669.0,True,424,54,36
2033,hill_climbing_fixed_budget,2898.0,True,49,,
2033,simulated_annealing,2459.0,True,707,17,
2033,simulated_annealing_reheating,2459.0,True,707,17,34
2034,hill_climbing_fixed_budget,2610.0,True,207,,
2034,simulated_annealing,2582.0,True,774,5,
2034,simulated_annealing_reheating,2582.0,True,774,5,32
2035,hill_climbing_fixed_budget,2840.0,True,1453,,
2035,simulated_annealing,2849.0,True,1069,0,
2035,simulated_annealing_reheating,2849.0,True,1069,0,37
2036,hill_climbing_fixed_budget,2840.0,True,139,,
2036,simulated_annealing,2554.0,True,546,37,
2036,simulated_annealing_reheating,2554.0,True,546,37,35
2037,hill_climbing_fixed_budget,3446.0,False,,,
2037,simulated_annealing,2752.0,True,986,7,
2037,simulated_annealing_reheating,2752.0,True,986,8,35
2038,hill_climbing_fixed_budget,2453.0,True,366,,
2038,simulated_annealing,2624.0,True,1121,4,
2038,simulated_annealing_reheating,2624.0,True,1121,4,36
2039,hill_climbing_fixed_budget,2522.0,True,885,,
2039,simulated_annealing,2686.0,True,1041,4,
2039,simulated_annealing_reheating,2686.0,True,1041,4,37
2040,hill_climbing_fixed_budget,2988.0,True,125,,
2040,simulated_annealing,2875.0,True,980,2,
2040,simulated_annealing_reheating,2875.0,True,980,2,36
2041,hill_climbing_fixed_budget,2522.0,True,886,,
2041,simulated_annealing,2517.0,True,883,2,
2041,simulated_annealing_reheating,2723.0,True,1011,9,36
2042,hill_climbing_fixed_budget,2522.0,True,213,,
2042,simulated_annealing,2486.0,True,592,31,
2042,simulated_annealing_reheating,2633.0,True,936,18,38
2043,hill_climbing_fixed_budget,2702.0,True,127,,
2043,simulated_annealing,2536.0,True,832,7,
2043,simulated_annealing_reheating,2536.0,True,832,9,36
2044,hill_climbing_fixed_budget,2585.0,True,437,,
2044,simulated_annealing,2935.0,True,1150,0,
2044,simulated_annealing_reheating,2935.0,True,1150,0,35
2045,hill_climbing_fixed_budget,2615.0,True,226,,
2045,simulated_annealing,2847.0,True,77,205,
2045,simulated_annealing_reheating,2847.0,True,77,205,36
2046,hill_climbing_fixed_budget,2619.0,True,110,,
2046,simulated_annealing,2581.0,True,814,4,
2046,simulated_annealing_reheating,2581.0,True,814,5,36
2047,hill_climbing_fixed_budget,2597.0,True,347,,
2047,simulated_annealing,3094.0,True,329,119,
2047,simulated_annealing_reheating,3094.0,True,329,119,36
2048,hill_climbing_fixed_budget,2668.0,True,267,,
2048,simulated_annealing,2536.0,True,1259,0,
2048,simulated_annealing_reheating,2536.0,True,1259,0,36
2049,hill_climbing_fixed_budget,2692.0,True,285,,
2049,simulated_annealing,2763.0,True,86,175,
2049,simulated_annealing_reheating,2716.0,True,86,247,37
2050,hill_climbing_fixed_budget,2602.0,True,91,,
2050,simulated_annealing,2517.0,True,349,89,
2050,simulated_annealing_reheating,2517.0,True,349,89,36
2051,hill_climbing_fixed_budget,3132.0,True,305,,
2051,simulated_annealing,2903.0,True,883,6,
2051,simulated_annealing_reheating,2903.0,True,883,6,36
2052,hill_climbing_fixed_budget,2584.0,True,46,,
2052,simulated_annealing,2697.0,True,1167,1,
2052,simulated_annealing_reheating,2644.0,True,880,14,37
2053,hill_climbing_fixed_budget,2562.0,True,224,,
2053,simulated_annealing,2801.0,True,996,1,
2053,simulated_annealing_reheating,2801.0,True,996,1,35
2054,hill_climbing_fixed_budget,2593.0,True,98,,
2054,simulated_annealing,2782.0,True,1028,3,
2054,simulated_annealing_reheating,2782.0,True,1028,3,37
2055,hill_climbing_fixed_budget,2910.0,True,469,,
2055,simulated_annealing,3460.0,False,,0,
2055,simulated_annealing_reheating,3460.0,False,,0,36
