seed,algorithm,best_cost,is_feasible,first_feasible_iteration,accepted_worsening_moves_after_feasibility,reheating_events_count
2026,hill_climbing_fixed_budget,2933.0,True,1908,,
2026,simulated_annealing_v2,2582.0,True,1355,2009,
2026,simulated_annealing_reheating_calibrado,2912.0,True,1355,3780,13
2027,hill_climbing_fixed_budget,2891.0,True,605,,
2027,simulated_annealing_v2,2484.0,True,1942,1756,
2027,simulated_annealing_reheating_calibrado,2649.0,True,2301,4195,17
2028,hill_climbing_fixed_budget,3026.0,True,720,,
2028,simulated_annealing_v2,2547.0,True,670,2269,
2028,simulated_annealing_reheating_calibrado,2923.0,True,670,3752,14
2029,hill_climbing_fixed_budget,2898.0,True,159,,
2029,simulated_annealing_v2,2554.0,True,1208,2208,
2029,simulated_annealing_reheating_calibrado,2466.0,True,1208,3647,12
2030,hill_climbing_fixed_budget,2759.0,True,158,,
2030,simulated_annealing_v2,2569.0,True,5162,805,
2030,simulated_annealing_reheating_calibrado,2718.0,True,3052,3402,16
2031,hill_climbing_fixed_budget,2654.0,True,233,,
2031,simulated_annealing_v2,2602.0,True,4019,1149,
2031,simulated_annealing_reheating_calibrado,2520.0,True,2767,3127,11
2032,hill_climbing_fixed_budget,2840.0,True,135,,
2032,simulated_annealing_v2,2530.0,True,1442,1720,
2032,simulated_annealing_reheating_calibrado,2557.0,True,1869,3018,11
2033,hill_climbing_fixed_budget,2898.0,True,49,,
2033,simulated_annealing_v2,2594.0,True,5152,728,
2033,simulated_annealing_reheating_calibrado,2454.0,True,2682,3679,15
2034,hill_climbing_fixed_budget,2610.0,True,207,,
2034,simulated_annealing_v2,2620.0,True,3271,1307,
2034,simulated_annealing_reheating_calibrado,2867.0,True,3618,2914,12
2035,hill_climbing_fixed_budget,2840.0,True,1453,,
2035,simulated_annealing_v2,2520.0,True,673,2200,
2035,simulated_annealing_reheating_calibrado,2598.0,True,673,4197,15
2036,hill_climbing_fixed_budget,2840.0,True,139,,
2036,simulated_annealing_v2,2520.0,True,991,1882,
2036,simulated_annealing_reheating_calibrado,2685.0,True,991,4353,15
2037,hill_climbing_fixed_budget,3446.0,False,,,
2037,simulated_annealing_v2,2530.0,True,806,2300,
2037,simulated_annealing_reheating_calibrado,2522.0,True,806,3562,10
2038,hill_climbing_fixed_budget,2453.0,True,366,,
2038,simulated_annealing_v2,2557.0,True,3301,1284,
2038,simulated_annealing_reheating_calibrado,2530.0,True,2146,3662,15
2039,hill_climbing_fixed_budget,2522.0,True,885,,
2039,simulated_annealing_v2,2530.0,True,869,2327,
2039,simulated_annealing_reheating_calibrado,2487.0,True,869,4492,13
2040,hill_climbing_fixed_budget,2988.0,True,125,,
2040,simulated_annealing_v2,2530.0,True,7406,203,
2040,simulated_annealing_reheating_calibrado,2644.0,True,10295,479,11
2041,hill_climbing_fixed_budget,2522.0,True,886,,
2041,simulated_annealing_v2,2584.0,True,905,2326,
2041,simulated_annealing_reheating_calibrado,2487.0,True,905,4170,15
2042,hill_climbing_fixed_budget,2522.0,True,213,,
2042,simulated_annealing_v2,2486.0,True,2315,1614,
2042,simulated_annealing_reheating_calibrado,2516.0,True,8174,1888,15
2043,hill_climbing_fixed_budget,2702.0,True,127,,
2043,simulated_annealing_v2,2487.0,True,3478,1215,
2043,simulated_annealing_reheating_calibrado,2499.0,True,4578,2116,10
2044,hill_climbing_fixed_budget,2585.0,True,437,,
2044,simulated_annealing_v2,2486.0,True,595,2294,
2044,simulated_annealing_reheating_calibrado,2672.0,True,595,4251,14
2045,hill_climbing_fixed_budget,2615.0,True,226,,
2045,simulated_annealing_v2,2516.0,True,77,2561,
2045,simulated_annealing_reheating_calibrado,2574.0,True,77,4339,14
2046,hill_climbing_fixed_budget,2619.0,True,110,,
2046,simulated_annealing_v2,2557.0,True,517,2102,
2046,simulated_annealing_reheating_calibrado,2508.0,True,517,4282,14
2047,hill_climbing_fixed_budget,2597.0,True,347,,
2047,simulated_annealing_v2,2499.0,True,2494,1643,
2047,simulated_annealing_reheating_calibrado,2517.0,True,7526,2316,15
2048,hill_climbing_fixed_budget,2668.0,True,267,,
2048,simulated_annealing_v2,2487.0,True,1215,2089,
2048,simulated_annealing_reheating_calibrado,2555.0,True,1215,4199,13
2049,hill_climbing_fixed_budget,2692.0,True,285,,
2049,simulated_annealing_v2,2486.0,True,86,2583,
2049,simulated_annealing_reheating_calibrado,2523.0,True,86,5273,15
2050,hill_climbing_fixed_budget,2602.0,True,91,,
2050,simulated_annealing_v2,2516.0,True,5750,625,
2050,simulated_annealing_reheating_calibrado,2496.0,True,7272,1675,14
2051,hill_climbing_fixed_budget,3132.0,True,305,,
2051,simulated_annealing_v2,2516.0,True,6406,465,
2051,simulated_annealing_reheating_calibrado,2692.0,True,4251,3404,16
2052,hill_climbing_fixed_budget,2584.0,True,46,,
2052,simulated_annealing_v2,2675.0,True,3507,1374,
2052,simulated_annealing_reheating_calibrado,2643.0,True,7109,1782,14
2053,hill_climbing_fixed_budget,2562.0,True,224,,
2053,simulated_annealing_v2,2621.0,True,6403,426,
2053,simulated_annealing_reheating_calibrado,2646.0,True,6743,2801,15
2054,hill_climbing_fixed_budget,2593.0,True,98,,
2054,simulated_annealing_v2,2453.0,True,1231,2204,
2054,simulated_annealing_reheating_calibrado,2584.0,True,1231,3997,14
2055,hill_climbing_fixed_budget,2910.0,True,469,,
2055,simulated_annealing_v2,2450.0,True,1898,1546,
2055,simulated_annealing_reheating_calibrado,2453.0,True,1898,3756,13
