seed,algorithm,best_cost,is_feasible,first_feasible_iteration,accepted_worsening_moves_after_feasibility,reheating_events_count
2026,hill_climbing_fixed_budget,2933.0,True,1908,,
2026,simulated_annealing_v2,2582.0,True,1355,2009,
2026,simulated_annealing_reheating_v2,5300.0,False,1790,5209,39
2027,hill_climbing_fixed_budget,2891.0,True,605,,
2027,simulated_annealing_v2,2484.0,True,1942,1756,
2027,simulated_annealing_reheating_v2,5483.0,False,3477,4661,38
2028,hill_climbing_fixed_budget,3026.0,True,720,,
2028,simulated_annealing_v2,2547.0,True,670,2269,
2028,simulated_annealing_reheating_v2,5998.0,False,670,5212,39
2029,hill_climbing_fixed_budget,2898.0,True,159,,
2029,simulated_annealing_v2,2554.0,True,1208,2208,
2029,simulated_annealing_reheating_v2,4856.0,False,1389,5237,39
2030,hill_climbing_fixed_budget,2759.0,True,158,,
2030,simulated_annealing_v2,2569.0,True,5162,805,
2030,simulated_annealing_reheating_v2,5121.0,False,5669,4569,39
2031,hill_climbing_fixed_budget,2654.0,True,233,,
2031,simulated_annealing_v2,2602.0,True,4019,1149,
2031,simulated_annealing_reheating_v2,5224.0,False,799,6636,36
2032,hill_climbing_fixed_budget,2840.0,True,135,,
2032,simulated_annealing_v2,2530.0,True,1442,1720,
2032,simulated_annealing_reheating_v2,5837.0,False,3080,5333,39
2033,hill_climbing_fixed_budget,2898.0,True,49,,
2033,simulated_annealing_v2,2594.0,True,5152,728,
2033,simulated_annealing_reheating_v2,5072.0,False,4043,4749,38
2034,hill_climbing_fixed_budget,2610.0,True,207,,
2034,simulated_annealing_v2,2620.0,True,3271,1307,
2034,simulated_annealing_reheating_v2,4962.0,False,2201,5715,37
2035,hill_climbing_fixed_budget,2840.0,True,1453,,
2035,simulated_annealing_v2,2520.0,True,673,2200,
2035,simulated_annealing_reheating_v2,4847.0,False,6731,4062,38
2036,hill_climbing_fixed_budget,2840.0,True,139,,
2036,simulated_annealing_v2,2520.0,True,991,1882,
2036,simulated_annealing_reheating_v2,4812.0,False,991,5722,39
2037,hill_climbing_fixed_budget,3446.0,False,,,
2037,simulated_annealing_v2,2530.0,True,806,2300,
2037,simulated_annealing_reheating_v2,6384.0,False,3372,4803,39
2038,hill_climbing_fixed_budget,2453.0,True,366,,
2038,simulated_annealing_v2,2557.0,True,3301,1284,
2038,simulated_annealing_reheating_v2,5074.0,False,5502,4491,39
2039,hill_climbing_fixed_budget,2522.0,True,885,,
2039,simulated_annealing_v2,2530.0,True,869,2327,
2039,simulated_annealing_reheating_v2,4987.0,False,869,5971,38
2040,hill_climbing_fixed_budget,2988.0,True,125,,
2040,simulated_annealing_v2,2530.0,True,7406,203,
2040,simulated_annealing_reheating_v2,5060.0,False,9265,2958,38
2041,hill_climbing_fixed_budget,2522.0,True,886,,
2041,simulated_annealing_v2,2584.0,True,905,2326,
2041,simulated_annealing_reheating_v2,5439.0,False,1590,4988,39
2042,hill_climbing_fixed_budget,2522.0,True,213,,
2042,simulated_annealing_v2,2486.0,True,2315,1614,
2042,simulated_annealing_reheating_v2,4904.0,False,9653,2862,39
2043,hill_climbing_fixed_budget,2702.0,True,127,,
2043,simulated_annealing_v2,2487.0,True,3478,1215,
2043,simulated_annealing_reheating_v2,4866.0,True,2117,6256,36
2044,hill_climbing_fixed_budget,2585.0,True,437,,
2044,simulated_annealing_v2,2486.0,True,595,2294,
2044,simulated_annealing_reheating_v2,5252.0,False,1126,5099,39
2045,hill_climbing_fixed_budget,2615.0,True,226,,
2045,simulated_annealing_v2,2516.0,True,77,2561,
2045,simulated_annealing_reheating_v2,5223.0,False,77,6395,38
2046,hill_climbing_fixed_budget,2619.0,True,110,,
2046,simulated_annealing_v2,2557.0,True,517,2102,
2046,simulated_annealing_reheating_v2,5385.0,False,517,5251,39
2047,hill_climbing_fixed_budget,2597.0,True,347,,
2047,simulated_annealing_v2,2499.0,True,2494,1643,
2047,simulated_annealing_reheating_v2,5054.0,False,3128,5386,39
2048,hill_climbing_fixed_budget,2668.0,True,267,,
2048,simulated_annealing_v2,2487.0,True,1215,2089,
2048,simulated_annealing_reheating_v2,4562.0,False,1523,6276,38
2049,hill_climbing_fixed_budget,2692.0,True,285,,
2049,simulated_annealing_v2,2486.0,True,86,2583,
2049,simulated_annealing_reheating_v2,4256.0,False,86,6276,39
2050,hill_climbing_fixed_budget,2602.0,True,91,,
2050,simulated_annealing_v2,2516.0,True,5750,625,
2050,simulated_annealing_reheating_v2,5393.0,False,2457,4736,38
2051,hill_climbing_fixed_budget,3132.0,True,305,,
2051,simulated_annealing_v2,2516.0,True,6406,465,
2051,simulated_annealing_reheating_v2,5208.0,False,8255,3720,38
2052,hill_climbing_fixed_budget,2584.0,True,46,,
2052,simulated_annealing_v2,2675.0,True,3507,1374,
2052,simulated_annealing_reheating_v2,4716.0,False,1606,6261,39
2053,hill_climbing_fixed_budget,2562.0,True,224,,
2053,simulated_annealing_v2,2621.0,True,6403,426,
2053,simulated_annealing_reheating_v2,4846.0,False,4428,4217,39
2054,hill_climbing_fixed_budget,2593.0,True,98,,
2054,simulated_annealing_v2,2453.0,True,1231,2204,
2054,simulated_annealing_reheating_v2,5411.0,False,4743,4709,39
2055,hill_climbing_fixed_budget,2910.0,True,469,,
2055,simulated_annealing_v2,2450.0,True,1898,1546,
2055,simulated_annealing_reheating_v2,5665.0,False,1487,5158,39
